,LanguageName,Latitude,Longitude,WordModernName1,Phonetic,SpellingAltv1,source_csv
0,Ref. Spelling,-40.0,-75.5,ellos,fëjëŋɘn,feyengün,12-feyengün.csv
1,Santa Bárbara,-37.67405,-71.80186,ellos,ˌvë.jë.ˈŋɘn,,12-feyengün.csv
2,Cañete,-37.96722,-73.39282,ellos,cʰɪ.ˈðwɪ.ŋɘn,,12-feyengün.csv
3,Tirúa,-38.3699,-73.49067,ellos,ˈɸë.jë.ɣ̞ɐ̝,,12-feyengün.csv
4,Alto Bío Bío,-38.04457,-71.36344,ellos,m̩.ˌvë.jë.ˈŋɘn,,12-feyengün.csv
5,Ercilla,-38.04926,-72.44544,ellos,ˌfɪ.ë.ˈŋɘn,,12-feyengün.csv
6,Galvarino,-38.40865,-72.78342,ellos,fë.jë.ˈŋɘn,,12-feyengün.csv
7,Victoria,-38.35303,-72.19395,ellos,ˈvëj.ŋʊ,,12-feyengün.csv
8,Lonquimay,-38.42587,-71.37014,ellos,ˌfëj.ˈë.ŋɘn,,12-feyengün.csv
9,Chol Chol,-38.51661,-72.97454,ellos,ˌfë.jë.ˈŋɘn,,12-feyengün.csv
10,Puerto Saavedra,-38.78431,-73.39912,ellos,fë.jë.ˈŋɘn,,12-feyengün.csv
11,Truf Truf,-38.75576,-72.43983,ellos,ˌɸë.jë.ˈŋɘn,,12-feyengün.csv
12,Icalma,-38.72338,-71.1847,ellos,ˈfëj.mɘn,,12-feyengün.csv
13,Freire,-38.99144,-72.8833,ellos,ˌfë.jë.ˈŋɘn,,12-feyengün.csv
14,Cunco,-38.97601,-72.01425,ellos,ë.ˈŋɘn,,12-feyengün.csv
15,Nueva Toltén,-39.20931,-73.1312,ellos,fë.ˈjɪ.ŋɘn,,12-feyengün.csv
16,Villarrica,-39.48612,-72.3038,ellos,ˌfë.jë.ˈŋɘn,,12-feyengün.csv
17,Curarrehue,-39.46788,-71.55193,ellos,ˌfëj.ˈjë.ŋɘn,,12-feyengün.csv
18,Mariquina,-39.45147,-73.26457,ellos,ˌfë.jë.ˈŋɘn,,12-feyengün.csv
19,Lanco,-39.5046,-72.44441,ellos,hë.ˈjɘ.ŋɘn,,12-feyengün.csv
20,Panguipulli,-39.54399,-72.12614,ellos,fëj.ˈɣɘŋ,,12-feyengün.csv
21,Valdivia,-39.81291,-72.95438,ellos,ˌfë.ˈjɘ.ŋɘn,,12-feyengün.csv
22,San Pablo,-40.38308,-73.34988,ellos,ˈëj.t̪ɘn,,12-feyengün.csv
23,S. Juan de la Costa,-40.51004,-73.52129,ellos,ˈfëj.ŋɘn,,12-feyengün.csv
24,Chalileo,-36.42252,-66.47321,ellos,ëj.ˈŋɘn,,12-feyengün.csv
25,Zapala,-38.85047,-69.74997,ellos,ëj.ˈmɘn,,12-feyengün.csv
26,Junín de los Andes,-39.82386,-71.28742,ellos,fɪ.ˈŋɘn,,12-feyengün.csv
27,Huiliches,-39.63992,-71.18686,ellos,f̞ë.jë.ˈŋɘn,,12-feyengün.csv
28,Jacobacci,-41.28813,-69.55719,ellos,ëj.ˈmɘn,,12-feyengün.csv
29,Ref. Spelling,-40.0,-75.5,estrella,wɐ̝ŋɘlën,wangülen,7-wangülen.csv
30,Santa Bárbara,-37.67405,-71.80186,estrella,ˌwɐ̝ŋ.ˈɡlën,,7-wangülen.csv
31,Cañete,-37.96722,-73.39282,estrella,ˌwɐ̝ŋ.ɡɘ̆.ˈlën,,7-wangülen.csv
32,Tirúa,-38.3699,-73.49067,estrella,ˌwɐ̝.ŋɘ.ˈlën,,7-wangülen.csv
33,Alto Bío Bío,-38.04457,-71.36344,estrella,ˌwɐ̝.ŋɘ̆.ˈlën,,7-wangülen.csv
